estimates,type,sample_id
3.0446647033187073,beta 1 hat,872
1.99187729695582,beta 0 hat,871
3.044499385672825,beta 1 hat,871
1.9921069105100129,beta 0 hat,870
3.044438229192327,beta 1 hat,870
1.992402323791357,beta 0 hat,869
3.0443584579040692,beta 1 hat,869
1.9926533299026028,beta 0 hat,868
3.044222437028748,beta 1 hat,868
1.9927915993109917,beta 0 hat,867
3.0447040629517854,beta 1 hat,867
1.9927318040544748,beta 0 hat,866
3.044456740688542,beta 1 hat,866
1.9924180387146169,beta 0 hat,865
3.0443376658552572,beta 1 hat,865
1.9923486637807704,beta 0 hat,864
3.0444209150229633,beta 1 hat,864
1.9927671716592192,beta 0 hat,863
3.044498666328133,beta 1 hat,863
1.9928740771023052,beta 0 hat,862
3.04439178327746,beta 1 hat,862
1.99311506746284,beta 0 hat,861
3.0442974314160685,beta 1 hat,861
1.9930219235889493,beta 0 hat,860
3.04494105273797,beta 1 hat,860
1.9927941869833579,beta 0 hat,859
3.0450947486420623,beta 1 hat,859
1.992833377929666,beta 0 hat,858
3.045199693515749,beta 1 hat,858
1.9929992808642678,beta 0 hat,857
3.0453623143322144,beta 1 hat,857
1.9927705594403926,beta 0 hat,856
3.0458464727289054,beta 1 hat,856
1.9927522468264525,beta 0 hat,855
3.045907879999001,beta 1 hat,855
1.9929848369729999,beta 0 hat,854
3.045604552811308,beta 1 hat,854
1.9932725422193052,beta 0 hat,853
3.0456868401375297,beta 1 hat,853
1.9937523685081378,beta 0 hat,852
3.045610045242195,beta 1 hat,852
1.9938622093498233,beta 0 hat,851
3.045671156468385,beta 1 hat,851
1.993574244433508,beta 0 hat,850
3.045405280683167,beta 1 hat,850
1.9935797817122962,beta 0 hat,849
3.0455302440205525,beta 1 hat,849
1.9936415951423676,beta 0 hat,848
3.045464971183669,beta 1 hat,848
1.9941984675675009,beta 0 hat,847
3.0452893873857314,beta 1 hat,847
1.9941101808867183,beta 0 hat,846
3.04530606639539,beta 1 hat,846
1.994354069853851,beta 0 hat,845
3.045559135595087,beta 1 hat,845
1.9943225191928213,beta 0 hat,844
3.0458847456273235,beta 1 hat,844
1.9939151032498235,beta 0 hat,843
3.0458719449295804,beta 1 hat,843
1.994154132618811,beta 0 hat,842
3.0462126943601655,beta 1 hat,842
1.9943751289738512,beta 0 hat,841
3.046512163811019,beta 1 hat,841
1.9947519065237571,beta 0 hat,840
3.0465459480689634,beta 1 hat,840
1.9945277818448923,beta 0 hat,839
3.046272466699523,beta 1 hat,839
1.9948604244210633,beta 0 hat,838
3.046399266588171,beta 1 hat,838
1.994840018776514,beta 0 hat,837
3.046228554152421,beta 1 hat,837
1.9946874911938213,beta 0 hat,836
3.0465259421885165,beta 1 hat,836
1.9945780532930135,beta 0 hat,835
3.0464998582152,beta 1 hat,835
1.9940957879881827,beta 0 hat,834
3.046388510765773,beta 1 hat,834
1.9940697592675805,beta 0 hat,833
3.046034227147835,beta 1 hat,833
1.9943108750526037,beta 0 hat,832
3.046355117135799,beta 1 hat,832
1.9941947830761215,beta 0 hat,831
3.0465037649313773,beta 1 hat,831
1.994396601135447,beta 0 hat,830
3.046433690288267,beta 1 hat,830
1.9941726897543401,beta 0 hat,829
3.046514580528857,beta 1 hat,829
1.9944616952025023,beta 0 hat,828
3.0462884339562475,beta 1 hat,828
1.9947984507962406,beta 0 hat,827
3.0465503225007806,beta 1 hat,827
1.9948893681499607,beta 0 hat,826
3.046712346617873,beta 1 hat,826
1.994646065284651,beta 0 hat,825
3.0466100864977115,beta 1 hat,825
1.9949798154818121,beta 0 hat,824
3.0467945003550785,beta 1 hat,824
1.9951245140678047,beta 0 hat,823
3.046909497797339,beta 1 hat,823
1.9950154942081824,beta 0 hat,822
3.047087764954209,beta 1 hat,822
1.9950636460651012,beta 0 hat,821
3.04737577555356,beta 1 hat,821
1.995630161899281,beta 0 hat,820
3.0477561885393754,beta 1 hat,820
1.9952336482352526,beta 0 hat,819
3.047456451050559,beta 1 hat,819
1.9954151055505571,beta 0 hat,818
3.0476271514982107,beta 1 hat,818
1.9954672326079517,beta 0 hat,817
3.047521979832395,beta 1 hat,817
1.9952684416728979,beta 0 hat,816
3.0474608811882398,beta 1 hat,816
1.9950295447586233,beta 0 hat,815
3.0471606564119478,beta 1 hat,815
1.9947598502348622,beta 0 hat,814
3.04728210581162,beta 1 hat,814
1.9944331810413813,beta 0 hat,813
3.0475374868474563,beta 1 hat,813
1.9940857567357118,beta 0 hat,812
3.047608461559703,beta 1 hat,812
1.9938031659674786,beta 0 hat,811
3.047325579238545,beta 1 hat,811
1.9935586101503764,beta 0 hat,810
3.0473465176263783,beta 1 hat,810
1.993507977118018,beta 0 hat,809
3.0472389909041144,beta 1 hat,809
1.993488795636472,beta 0 hat,808
3.0471855666391585,beta 1 hat,808
1.9935547902039117,beta 0 hat,807
3.046999211519673,beta 1 hat,807
1.9937215430658755,beta 0 hat,806
3.046661527336658,beta 1 hat,806
1.9935174862347658,beta 0 hat,805
3.0466309177188466,beta 1 hat,805
1.9933230243624687,beta 0 hat,804
3.046686632594996,beta 1 hat,804
1.9934368292273845,beta 0 hat,803
3.0468708125114405,beta 1 hat,803
1.9940402537146547,beta 0 hat,802
3.0468174117001294,beta 1 hat,802
1.9940857389424542,beta 0 hat,801
3.047042645437325,beta 1 hat,801
1.9938184593390167,beta 0 hat,800
3.0469063506949,beta 1 hat,800
1.9937378734088063,beta 0 hat,799
3.0467042762402863,beta 1 hat,799
1.9938008971180834,beta 0 hat,798
3.046620732956975,beta 1 hat,798
1.9939669104083508,beta 0 hat,797
3.04662512618311,beta 1 hat,797
1.9937035479239444,beta 0 hat,796
3.046923624704958,beta 1 hat,796
1.9936144258004052,beta 0 hat,795
3.0468891230752293,beta 1 hat,795
1.9937744772590789,beta 0 hat,794
3.046656872095681,beta 1 hat,794
1.9940582572116685,beta 0 hat,793
3.046624580400365,beta 1 hat,793
1.993612864804217,beta 0 hat,792
3.046901895028111,beta 1 hat,792
1.993773367213484,beta 0 hat,791
3.046854255840616,beta 1 hat,791
1.9938220430838327,beta 0 hat,790
3.0466319496860126,beta 1 hat,790
1.993958628612002,beta 0 hat,789
3.0466308189550406,beta 1 hat,789
1.9936619439457,beta 0 hat,788
3.046574561631182,beta 1 hat,788
1.993920809615953,beta 0 hat,787
3.0465058293857505,beta 1 hat,787
1.9938989536217444,beta 0 hat,786
3.046260095509228,beta 1 hat,786
1.9943563245208158,beta 0 hat,785
3.0459250187670444,beta 1 hat,785
1.9943900742078549,beta 0 hat,784
3.0463160991063383,beta 1 hat,784
1.9943165390241577,beta 0 hat,783
3.0462515349624946,beta 1 hat,783
1.9944354304455019,beta 0 hat,782
3.046040061300483,beta 1 hat,782
1.994754642796121,beta 0 hat,781
3.045975067805469,beta 1 hat,781
1.99465868955569,beta 0 hat,780
3.045920420028191,beta 1 hat,780
1.9946005582616149,beta 0 hat,779
3.0459230756951476,beta 1 hat,779
1.9947311460753872,beta 0 hat,778
3.045922794371648,beta 1 hat,778
1.9949254627406652,beta 0 hat,777
3.045921752022204,beta 1 hat,777
1.9948020498265149,beta 0 hat,776
3.0455690311192036,beta 1 hat,776
1.9952525843643816,beta 0 hat,775
3.045512540320338,beta 1 hat,775
1.995026518467889,beta 0 hat,774
3.0456920345059646,beta 1 hat,774
1.9949664126374287,beta 0 hat,773
3.045904145550555,beta 1 hat,773
1.9947990362594505,beta 0 hat,772
3.0460028739304743,beta 1 hat,772
1.9952082969571006,beta 0 hat,771
3.0463045025361484,beta 1 hat,771
1.9953906643141648,beta 0 hat,770
3.0464644506422407,beta 1 hat,770
1.9951022824415436,beta 0 hat,769
3.046776396127615,beta 1 hat,769
1.9948622088320962,beta 0 hat,768
3.046692152437834,beta 1 hat,768
1.9948957706530799,beta 0 hat,767
3.047036424930732,beta 1 hat,767
1.9948142541291498,beta 0 hat,766
3.0472970128372503,beta 1 hat,766
1.994788878751617,beta 0 hat,765
3.047487682164836,beta 1 hat,765
1.9948643203236167,beta 0 hat,764
3.0476232669428773,beta 1 hat,764
1.9949159981390414,beta 0 hat,763
3.04730780663991,beta 1 hat,763
1.9949984347167162,beta 0 hat,762
3.04709228234179,beta 1 hat,762
1.9952514965208503,beta 0 hat,761
3.0474230567775114,beta 1 hat,761
1.9948699923504474,beta 0 hat,760
3.047389937693461,beta 1 hat,760
1.9947468650034577,beta 0 hat,759
3.047317696880624,beta 1 hat,759
1.9950851214629892,beta 0 hat,758
3.0471381632146035,beta 1 hat,758
1.9949220453526266,beta 0 hat,757
3.0474125852746345,beta 1 hat,757
1.9952025056450446,beta 0 hat,756
3.047358460896622,beta 1 hat,756
1.995392230175481,beta 0 hat,755
3.0476651107312582,beta 1 hat,755
1.9951954904029559,beta 0 hat,754
3.0479734719445437,beta 1 hat,754
1.9947800597956715,beta 0 hat,753
3.0480689669594527,beta 1 hat,753
1.994590266746272,beta 0 hat,752
3.0481398951897782,beta 1 hat,752
1.994659586551058,beta 0 hat,751
3.048326695077626,beta 1 hat,751
1.9950105541032574,beta 0 hat,750
3.0485526871558584,beta 1 hat,750
1.9951187732578206,beta 0 hat,749
3.0482896946047027,beta 1 hat,749
1.995135488311072,beta 0 hat,748
3.048110151868909,beta 1 hat,748
1.9947567668209607,beta 0 hat,747
3.048540778974042,beta 1 hat,747
1.9950651921647045,beta 0 hat,746
3.0491974370543495,beta 1 hat,746
1.9946774767058253,beta 0 hat,745
3.0488609627826877,beta 1 hat,745
1.9947174135924168,beta 0 hat,744
3.048684549984727,beta 1 hat,744
1.9949114665818206,beta 0 hat,743
3.0487220302577316,beta 1 hat,743
1.994704538215785,beta 0 hat,742
3.0486700489409833,beta 1 hat,742
1.994506826715694,beta 0 hat,741
3.04873028222765,beta 1 hat,741
1.9946946246301418,beta 0 hat,740
3.049148406591977,beta 1 hat,740
1.9950452121769195,beta 0 hat,739
3.0497023734241764,beta 1 hat,739
1.9950383059516124,beta 0 hat,738
3.0497390673759477,beta 1 hat,738
1.9951785457078317,beta 0 hat,737
3.0498976252952863,beta 1 hat,737
1.9955360557019417,beta 0 hat,736
3.0504030631137526,beta 1 hat,736
1.9956926680266038,beta 0 hat,735
3.0502909809565955,beta 1 hat,735
1.9956510368155302,beta 0 hat,734
3.05050396954573,beta 1 hat,734
1.9960438353230971,beta 0 hat,733
3.05106913845819,beta 1 hat,733
1.9960155559731416,beta 0 hat,732
3.0508201075248054,beta 1 hat,732
1.996015635555602,beta 0 hat,731
3.0508899038713513,beta 1 hat,731
1.9959269453346253,beta 0 hat,730
3.0506587729011887,beta 1 hat,730
1.9955789589996087,beta 0 hat,729
3.0503230612212406,beta 1 hat,729
1.9957430852013207,beta 0 hat,728
3.050467084994105,beta 1 hat,728
1.9962388967475435,beta 0 hat,727
3.0503513995579272,beta 1 hat,727
1.995549462433811,beta 0 hat,726
3.0506795894955725,beta 1 hat,726
1.995281194238297,beta 0 hat,725
3.050457740334674,beta 1 hat,725
1.9948375826838027,beta 0 hat,724
3.051052043614354,beta 1 hat,724
1.994839438445303,beta 0 hat,723
3.0510446680118015,beta 1 hat,723
1.994690138201849,beta 0 hat,722
3.0507831823786997,beta 1 hat,722
1.9950946462919696,beta 0 hat,721
3.050884008526977,beta 1 hat,721
1.9952856945162913,beta 0 hat,720
3.050781119000571,beta 1 hat,720
1.995118053735419,beta 0 hat,719
3.050379457137391,beta 1 hat,719
1.995192511216782,beta 0 hat,718
3.0502348427188286,beta 1 hat,718
1.9953941195271525,beta 0 hat,717
3.050322013952212,beta 1 hat,717
1.9955168468861928,beta 0 hat,716
3.050245359047219,beta 1 hat,716
1.9953806477027998,beta 0 hat,715
3.0501982615849537,beta 1 hat,715
1.9955091631608624,beta 0 hat,714
3.050457896646229,beta 1 hat,714
1.995394522517787,beta 0 hat,713
3.0505288004449747,beta 1 hat,713
1.9954476518571538,beta 0 hat,712
3.050180833596462,beta 1 hat,712
1.9954464655325719,beta 0 hat,711
3.049934657275959,beta 1 hat,711
1.9955570941070584,beta 0 hat,710
3.050032794001112,beta 1 hat,710
1.9951832301019052,beta 0 hat,709
3.049771552737606,beta 1 hat,709
1.9952763561736713,beta 0 hat,708
3.0497633160792024,beta 1 hat,708
1.9954915063122183,beta 0 hat,707
3.049797824832396,beta 1 hat,707
1.9953306009215497,beta 0 hat,706
3.0497966160197247,beta 1 hat,706
1.995808614252486,beta 0 hat,705
3.049709119371659,beta 1 hat,705
1.99605865118957,beta 0 hat,704
3.0494231069953694,beta 1 hat,704
1.996228467804664,beta 0 hat,703
3.049221129378,beta 1 hat,703
1.996276347637969,beta 0 hat,702
3.048987504976563,beta 1 hat,702
1.9963209770047072,beta 0 hat,701
3.0490590301520584,beta 1 hat,701
1.9956570940841736,beta 0 hat,700
3.0489492448082234,beta 1 hat,700
1.9960291580671414,beta 0 hat,699
3.0487944839359726,beta 1 hat,699
1.9962149074857303,beta 0 hat,698
3.0491579476535047,beta 1 hat,698
1.9960428150244724,beta 0 hat,697
3.0491042338215277,beta 1 hat,697
1.9954946408234235,beta 0 hat,696
3.049454709553409,beta 1 hat,696
1.9961770769110383,beta 0 hat,695
3.0491097543014596,beta 1 hat,695
1.9960147923960088,beta 0 hat,694
3.049194517480109,beta 1 hat,694
1.995814039409558,beta 0 hat,693
3.0491393612632787,beta 1 hat,693
1.9959938585359562,beta 0 hat,692
3.0487813208194994,beta 1 hat,692
1.996233854473001,beta 0 hat,691
3.0489478494091156,beta 1 hat,691
1.9965390209784952,beta 0 hat,690
3.04929525443064,beta 1 hat,690
1.9964300154109935,beta 0 hat,689
3.0493833392624645,beta 1 hat,689
1.996865817779963,beta 0 hat,688
3.049318453477605,beta 1 hat,688
1.9966782533827063,beta 0 hat,687
3.0494531651865713,beta 1 hat,687
1.9959484935381482,beta 0 hat,686
3.0496080738401345,beta 1 hat,686
1.9952504559514985,beta 0 hat,685
3.0491980497013116,beta 1 hat,685
1.9950667869288505,beta 0 hat,684
3.0492883027535918,beta 1 hat,684
1.9949030845812417,beta 0 hat,683
3.048901849161492,beta 1 hat,683
1.9944894970750646,beta 0 hat,682
3.0490363678056958,beta 1 hat,682
1.9941960280134234,beta 0 hat,681
3.048853824599608,beta 1 hat,681
1.9947038528301488,beta 0 hat,680
3.048829671952764,beta 1 hat,680
1.9943374823454971,beta 0 hat,679
3.0487284172083933,beta 1 hat,679
1.9943321464651524,beta 0 hat,678
3.049094989091537,beta 1 hat,678
1.9938914040562628,beta 0 hat,677
3.049269169923967,beta 1 hat,677
1.9940390020761916,beta 0 hat,676
3.049507419561711,beta 1 hat,676
1.9940542266442776,beta 0 hat,675
3.0492311825320493,beta 1 hat,675
1.9944200555258504,beta 0 hat,674
3.0488872093297514,beta 1 hat,674
1.994419929369439,beta 0 hat,673
3.0488181469572364,beta 1 hat,673
1.9945581084160111,beta 0 hat,672
3.0485493495907385,beta 1 hat,672
1.994659368062203,beta 0 hat,671
3.0483744908165993,beta 1 hat,671
1.9943875942458036,beta 0 hat,670
3.0485478991992836,beta 1 hat,670
1.9945397887360383,beta 0 hat,669
3.048617590560097,beta 1 hat,669
1.994821951084225,beta 0 hat,668
3.0485497893404507,beta 1 hat,668
1.994841862346115,beta 0 hat,667
3.048697213803667,beta 1 hat,667
1.9947365654078233,beta 0 hat,666
3.049034909681736,beta 1 hat,666
1.9951620554033649,beta 0 hat,665
3.049777227179054,beta 1 hat,665
1.9953977048049256,beta 0 hat,664
3.049351818902374,beta 1 hat,664
1.995460813749985,beta 0 hat,663
3.0493394563445992,beta 1 hat,663
1.9953837045891558,beta 0 hat,662
3.0497855459296606,beta 1 hat,662
1.9953011739731645,beta 0 hat,661
3.049387387208032,beta 1 hat,661
1.9954193339443937,beta 0 hat,660
3.0486908521676144,beta 1 hat,660
1.9956317671803931,beta 0 hat,659
3.0486389101486266,beta 1 hat,659
1.9955789827684196,beta 0 hat,658
3.048559912573143,beta 1 hat,658
1.9951727631102272,beta 0 hat,657
3.0492019851398715,beta 1 hat,657
1.9953453420968528,beta 0 hat,656
3.049059728361423,beta 1 hat,656
1.9952250603794286,beta 0 hat,655
3.0488596345084544,beta 1 hat,655
1.995614485406473,beta 0 hat,654
3.048774817654334,beta 1 hat,654
1.995405992444129,beta 0 hat,653
3.0484153200852875,beta 1 hat,653
1.995313228528489,beta 0 hat,652
3.04880264459144,beta 1 hat,652
1.9952908737762243,beta 0 hat,651
3.0484936995279943,beta 1 hat,651
1.995118648419376,beta 0 hat,650
3.0488938780359227,beta 1 hat,650
1.9954904691711883,beta 0 hat,649
3.0485783903395,beta 1 hat,649
1.996000930539983,beta 0 hat,648
3.0483671696860184,beta 1 hat,648
1.9956132235647621,beta 0 hat,647
3.0484261792681395,beta 1 hat,647
1.9962362681316093,beta 0 hat,646
3.0488932377466336,beta 1 hat,646
1.9967699338638745,beta 0 hat,645
3.048867433671193,beta 1 hat,645
1.9967730279772362,beta 0 hat,644
